model,MAE,RMSE,R2,groups,n_groups,n_features_added
ДР2_plus_ДР6_plus_ДР7_plus_ДР10_LinearRegression,4.297799973203628,5.386065856598612,0.8826514219304351,"ДР2, ДР6, ДР7, ДР10",4,26
ДР2_plus_ДР6_plus_ДР9_plus_ДР10_LinearRegression,4.368330270638101,5.493363843824715,0.8779293541309647,"ДР2, ДР6, ДР9, ДР10",4,25
ДР2_plus_ДР6_plus_ДР8_plus_ДР10_LinearRegression,4.489277711341548,5.6264179621141075,0.8719444237922722,"ДР2, ДР6, ДР8, ДР10",4,25
ДР2_plus_ДР6_plus_ДР7_plus_ДР10_RandomForest,4.484570192057867,5.661118776965393,0.8703599926757516,"ДР2, ДР6, ДР7, ДР10",4,26
ДР2_plus_ДР6_plus_ДР9_plus_ДР10_RandomForest,4.574247741978972,5.741615954867686,0.8666469991743729,"ДР2, ДР6, ДР9, ДР10",4,25
ДР2_plus_ДР6_plus_ДР8_plus_ДР10_RandomForest,4.706712901001293,5.911559240642588,0.8586360717073278,"ДР2, ДР6, ДР8, ДР10",4,25
ДР2_plus_ДР6_plus_ДР10_LinearRegression,5.142515158877049,6.446735683946338,0.8318819895049866,"ДР2, ДР6, ДР10",3,18
ДР2_plus_ДР6_plus_ДР10_RandomForest,5.376231254962385,6.743863430266944,0.8160278657699648,"ДР2, ДР6, ДР10",3,18
ДР2_plus_ДР6_LinearRegression,6.854544873475126,8.517616907839074,0.7065252649435826,"ДР2, ДР6",2,10
ДР2_plus_ДР6_RandomForest,7.125883044164877,8.878067704224101,0.6811610148035188,"ДР2, ДР6",2,10
ДР6_plus_ДР10_LinearRegression,7.33211722255444,9.000535911465025,0.6723039164126949,"ДР6, ДР10",2,17
ДР6_plus_ДР10_RandomForest,7.549620882851154,9.310913767281459,0.6493134400832112,"ДР6, ДР10",2,17
ДР2_plus_ДР10_LinearRegression,7.622874489368543,9.43313764794699,0.6400461224519516,"ДР2, ДР10",2,9
ДР2_plus_ДР10_RandomForest,7.916936028443743,9.86613909596182,0.6062423713453704,"ДР2, ДР10",2,9
ДР7_plus_ДР8_plus_ДР9_LinearRegression,8.045069426447304,9.944328941314291,0.5999765269822251,"ДР7, ДР8, ДР9",3,22
ДР7_plus_ДР8_plus_ДР9_RandomForest,8.362331981700661,10.36361256709644,0.5655329442690047,"ДР7, ДР8, ДР9",3,22
ДР7_plus_ДР9_LinearRegression,8.781445420116993,10.851545674635839,0.52365926950579,"ДР7, ДР9",2,15
ДР7_plus_ДР8_LinearRegression,8.94117741218099,11.019193489344392,0.5088274008539753,"ДР7, ДР8",2,15
ДР8_plus_ДР9_LinearRegression,9.104877897355028,11.235326262574816,0.4893705134511841,"ДР8, ДР9",2,14
ДР7_plus_ДР9_RandomForest,9.111473218339693,11.315181509383436,0.48208610491571013,"ДР7, ДР9",2,15
ДР7_plus_ДР8_RandomForest,9.28849027715385,11.496900966250934,0.4653173477309107,"ДР7, ДР8",2,15
ДР8_plus_ДР9_RandomForest,9.38308496153771,11.659234526967811,0.45011156048077694,"ДР8, ДР9",2,14
