feature,risk
ID,high
№,high
Класс_diag,low
ПБ,high
Проц_вып,high
Проц_вып_к,high
Логин_ОО,high
ТИП_НП,low
Размер_НП,low
Пол_diag,low
Отметка_РУ,low
Отметка_МА,low
ДР1.1,unknown
ДР1.2_1,unknown
ДР1.2_2,unknown
ДР1.2_3,unknown
ДР1.2_4,unknown
ДР1.2_5,unknown
ДР1.2_6,unknown
ДР1.2_7,unknown
ДР1.2_8,unknown
ДР1.2_9,unknown
ДР2,unknown
ДР3.1,unknown
ДР3.2_0,unknown
ДР3.2_1,unknown
ДР3.2_2,unknown
ДР3.2_3,unknown
ДР3.2_4,unknown
ДР3.2_5,unknown
ДР4_1,unknown
ДР4_2,unknown
ДР4_3,unknown
ДР4_4,unknown
ДР4_5,unknown
ДР4_6,unknown
ДР4_7,unknown
ДР4_8,unknown
ДР5,unknown
ДР6.1,unknown
ДР6.2_1,unknown
ДР6.2_2,unknown
ДР6.2_3,unknown
ДР6.2_4,unknown
ДР6.2_5,unknown
ДР6.2_6,unknown
ДР6.2_7,unknown
ДР6.3,unknown
ДР7.1,unknown
ДР7.2_0,unknown
ДР7.2_1,unknown
ДР7.2_2,unknown
ДР7.2_3,unknown
ДР7.2_4,unknown
ДР7.2_5,unknown
ДР7.2_6,unknown
ДР8.1,unknown
ДР8.2_1,unknown
ДР8.2_2,unknown
ДР8.2_3,unknown
ДР8.2_4,unknown
ДР8.2_5,unknown
ДР8.2_6,unknown
ДР9.1,unknown
ДР9.2_0,unknown
ДР9.2_1,unknown
ДР9.2_2,unknown
ДР9.2_3,unknown
ДР9.2_4,unknown
ДР9.2_5,unknown
ДР10.1,unknown
ДР10.2_0,unknown
ДР10.2_1,unknown
ДР10.2_2,unknown
ДР10.2_3,unknown
ДР10.2_4,unknown
ДР10.2_5,unknown
ДР10.2_6,unknown
Безопасность,low
Bul24,high
Bul25,high
Ref26,high
Vz27,high
Blag28,high
Blag29,high
Blag30,high
Blag31,high
Dev32,high
Dev33,high
Dev34,high
Dev35,high
Dev36,high
Dev37,high
Bul24_к3,high
Bul25_к3,high
Ref26_к3,high
Vz27_к3,high
Blag28_к3,high
Blag29_к3,high
Blag30_к3,high
Blag31_к3,high
Dev32_к3,high
Dev33_к3,high
Dev34_к3,high
Dev35_к3,high
Dev36_к3,high
Dev37_к3,high
N_health,high
N_eco,high
N_safety,high
N_family,high
N_parents,high
N_vol,high
N_patr,high
N_work,high
N_культура,high
N_science,high
N_Prof,high
И_здоровья,high
И_эко,high
И_безопасности,high
И_семьи,high
И_родители,high
И_Rod,high
И_волонтер,high
И_патриотизм,high
И_труд,high
И_культура,high
И_Science,high
И_Prof,high
И_здоровья_к,high
И_эко_к,high
И_безопасности_к,high
И_семьи_к,high
И_родители_к,high
И_Rod_к,high
И_волонтер_к,high
И_патриотизм_к,high
И_труд_к,high
И_культура_к,high
И_Science_к,high
И_Prof_к,high
par_Ix1,high
par_Ix2,high
par_Ix3,high
par_Ix4,high
par_Ix1k,high
par_Ix2k,high
par_Ix3k,high
par_Ix4k,high
Кат1,high
Кат2,high
Кат3,high
Кат1к,high
Кат2к,high
Кат3к,high
filter_$,high
Семья1.2_1,low
Семья1.2_2,low
Семья1.2_3,low
Семья1.2_4,low
Семья1.2_5,low
Семья1.2_6,low
Семья1.2_7,low
Семья1.2_8,low
Семья1.2_9,low
VAR00001,low
Семья_тип,low
Члены_семьи,low
Семья_другие_члены,low
Семья_тип2,low
Семья_тип_дих,low
Ln_И_семьи,low
Регион,low
Класс_svod,low
Пол_svod,low
РУ Текущая отметка,low
МА Текущая отметка,low
Расскажите немного о своей семье. Кто в неё входит? ,low
1(1),low
1(2),low
"Кем из членов семьи Вы гордитесь? Объясните, почему.",low
2,low
Какие традиции существуют в Вашей семье?,low
3(1),low
3(2),low
Что Вы обычно делаете вместе с другими членами семьи?,low
4,low
Как называется Ваш населённый пункт?,low
Регион_т,low
5,low
Какие достопримечательности есть в Вашем населённом пункте?,low
6(1),low
6(2),low
6(3),low
"Что, по Вашему мнению, необходимо сделать в первую очередь, чтобы улучшить жизнь в Вашем населённом пункте?",low
7(1),low
7(2),low
Какими военными победами нашей страны Вы гордитесь?,low
8(1),low
8(2),low
"Каковы наиболее важные, на Ваш взгляд, научные открытия и технические достижения учёных нашей страны?",low
9(1),low
9(2),low
Какие российские деятели искусства прошлого и настоящего известны всему миру?,low
10(1),low
10(2),low
full_text,low
