model,MAE,RMSE,R2,group,n_group_features
ДР6_added_LinearRegression,8.76510148366867,10.801407536923156,0.5280508399062109,ДР6,9
ДР6_added_RandomForest,9.05612324452458,11.180391115249591,0.4943517532432997,ДР6,9
ДР10_added_LinearRegression,9.486262671204772,11.714371516325079,0.4448983737472456,ДР10,8
ДР2_added_LinearRegression,9.798785506673159,12.119455486947414,0.4058436694495451,ДР2,1
ДР10_added_RandomForest,9.791837771926845,12.120422435555751,0.4057488563522881,ДР10,8
ДР9_added_LinearRegression,9.956786623918163,12.328133761171571,0.3852066112196919,ДР9,7
ДР7_added_LinearRegression,10.092607533108612,12.425293131114161,0.37547791742563985,ДР7,8
ДР2_added_RandomForest,10.080010330418691,12.519900857755609,0.36593133326960414,ДР2,1
ДР8_added_LinearRegression,10.19279619131157,12.567832500956378,0.36106705674328876,ДР8,7
ДР9_added_RandomForest,10.169260221193715,12.651631799104624,0.35251814661675407,ДР9,7
ДР3_added_LinearRegression,10.304664383310381,12.744411061614382,0.34298686107890186,ДР3,7
ДР7_added_RandomForest,10.429413177221381,12.907629403058998,0.32605029387782014,ДР7,8
ДР8_added_RandomForest,10.447238783404671,12.932335115025955,0.3234678921729791,ДР8,7
ДР3_added_RandomForest,10.663758733916254,13.20780718494325,0.29433926393966015,ДР3,7
ДР5_added_LinearRegression,10.991066137990899,13.594712138699458,0.25239095855917737,ДР5,1
ДР4_1_added_LinearRegression,11.055936653765215,13.668995915430518,0.2441985158779849,ДР4_1,1
ДР4_8_added_LinearRegression,11.07074990075855,13.684851263774481,0.24244411548013778,ДР4_8,1
ДР5_added_RandomForest,11.187387537402492,13.890699976608822,0.21948226569719875,ДР5,1
ДР4_8_added_RandomForest,11.254648785098775,13.941691302353995,0.2137413477764344,ДР4_8,1
ДР4_2_added_LinearRegression,11.385007246928433,14.051652642790732,0.2012896285732131,ДР4_2,1
ДР4_3_added_LinearRegression,11.501307719130136,14.195895742669741,0.18480761295936088,ДР4_3,1
ДР4_1_added_RandomForest,11.450577599248414,14.207941055501202,0.1834236336252727,ДР4_1,1
ДР4_4_added_LinearRegression,11.54079258671129,14.264726975862771,0.17688324813240153,ДР4_4,1
ДР4_5_added_LinearRegression,11.601571811612864,14.357322860126445,0.1661624546561904,ДР4_5,1
ДР4_7_added_LinearRegression,11.620059869456398,14.378287694797331,0.1637255059730769,ДР4_7,1
ДР1_added_LinearRegression,11.612439907757013,14.379994180038135,0.16352698792995324,ДР1,10
ДР4_6_added_LinearRegression,11.619990967897468,14.380000926697312,0.16352620303399623,ДР4_6,1
ДР4_2_added_RandomForest,11.69924849911248,14.480163440336472,0.15183286436890364,ДР4_2,1
ДР4_4_added_RandomForest,11.718206566325026,14.504224365601992,0.14901181316516277,ДР4_4,1
ДР4_3_added_RandomForest,11.767961082849332,14.549048017235995,0.14374392189089502,ДР4_3,1
ДР4_5_added_RandomForest,11.77155862351617,14.58855517800009,0.13908737310654706,ДР4_5,1
ДР4_6_added_RandomForest,11.78208161399201,14.60313312734731,0.13736593995263557,ДР4_6,1
ДР4_7_added_RandomForest,11.782219887199568,14.603409491080601,0.13733328901080222,ДР4_7,1
ДР1_added_RandomForest,11.896817171857162,14.773454618175908,0.11712618214261505,ДР1,10
