model,MAE,RMSE,R2
Ridge_base_text_tuned,6.072806925026473,7.705737614140837,0.759805561922284
Lasso_base_text_tuned,6.100609851474524,7.741942376401,0.7575431927356792
ElasticNet_base_text_tuned,6.129383650555075,7.760667149702459,0.7563689553871853
LinearRegression_base_text,6.130665532919644,7.776277566615511,0.7553878523155126
CatBoost_practical_tuned,7.708474826292317,9.70654095372364,0.6188784593382763
HistGradientBoosting_practical_tuned,7.740524948962683,9.76042185870412,0.614635512467537
RandomForest_practical_tuned,7.7783401463816935,9.799921973669043,0.6115100854855968
ExtraTrees_practical_tuned,7.883141752565701,9.957137135504606,0.5989454110745258
LinearRegression_base,11.619977694947847,14.378268244449565,0.16372776852604287
