feature,importance
full_text_chars,0.3587911481470379
full_text_unique_words,0.21724360117101882
full_text_words,0.11581591248077223
country_text_words,0.0726897745481162
place_text_words,0.05310749602043294
family_text_words,0.05155835211788029
Семья_тип2,0.013073401075736566
Члены_семьи,0.011023059434895344
mentions_profession,0.004969310536619878
Размер_НП_6,0.004864205108215883
mentions_country,0.004862127157348429
Размер_НП_8,0.004791649092231786
mentions_tradition,0.004758334375661568
Отметка_МА_3,0.004616901371511508
mentions_culture,0.004427416756962908
Отметка_РУ_3,0.004344603603491444
Размер_НП_7,0.00423882704690301
Размер_НП_4,0.004202227546896413
mentions_sibling,0.004028275190501259
mentions_science,0.003990271029098678
Размер_НП_5,0.003570475170069023
Отметка_МА_5,0.003530484875805734
Отметка_РУ_4,0.0034741977587168585
Отметка_МА_4,0.003454883071786812
Размер_НП_2,0.0033774519060832692
Семья_тип,0.0033182110129657666
mentions_grand,0.003304957842124256
Отметка_РУ_5,0.0031408827327991107
Размер_НП_3,0.003049447346245205
Семья_другие_члены,0.002829696473062758
mentions_father,0.0027740265537711845
mentions_volunteer_like,0.002550520205312829
ТИП_НП_1,0.0024865793053338507
ТИП_НП_2,0.0024460500813971056
mentions_mother,0.0020472385636403764
Размер_НП_1,0.0016561113185770626
Семья_тип_дих_0,0.0013566009478893522
Семья_тип_дих_1,0.0011140204470754258
Семья_тип_дих_ ,0.0010494190239459654
Отметка_МА_2,0.0005121716367135806
Отметка_РУ_ ,0.00030204599665762164
Отметка_РУ_2,0.0002974795396598367
Отметка_МА_ ,0.00028879994415217144
full_text_nonempty,0.0002565859184175109
ТИП_НП_ ,0.00012030384156969568
Размер_НП_ ,0.00011170432189598244
Отметка_РУ_99999,9.792689977289046e-05
Отметка_МА_99999,8.483345322550788e-05
